"gene","ensembl_id","stat","log2FoldChange"
"SIRT5","ENSG00000124523",0.00197378415503383,-0.717378428663067
"CDC42","ENSG00000070831",0.00197378415503383,-0.406128062936809
"TPX2","ENSG00000088325",0.00204005568497302,1.70266438767021
"TRIM37","ENSG00000108395",0.00208324770297708,0.486683433266567
"TAF15","ENSG00000270647",0.00210745447226393,-0.650432780631213
"SULF2","ENSG00000196562",0.00213275855306578,0.400543276430364
"MKI67","ENSG00000148773",0.00213275855306578,1.10806515438271
"S1PR3","ENSG00000213694",0.00215392865900501,-0.829741853807617
"RPS2","ENSG00000140988",0.00216385033538028,0.421279916605605
"NULL","",0.00221203751623449,-0.521535821196389
"KNSTRN","ENSG00000128944",0.00221203751623449,1.15996966637665
"RBBP4","ENSG00000162521",0.00224024629472267,-0.516647180978402
"CCNT1","ENSG00000129315",0.00225107110364155,0.863294261991531
"SPC24","ENSG00000161888",0.00225107110364155,1.71533954334291
"ANKRD18B","ENSG00000230453",0.0023419067988945,0.727905899404585
"TUBA1B","ENSG00000123416",0.00245786275830645,0.709008488304664
"DRAM1","ENSG00000136048",0.00249047949219977,-1.50019658539454
"CLIC1","ENSG00000213719",0.00251095750219302,-0.67610154050151
"FBXO45","ENSG00000174013",0.00253533546246821,-0.732366374302329
"PTPRG","ENSG00000144724",0.00260579019383448,0.653459560768514
"LMCD1","ENSG00000071282",0.00260579019383448,0.671656003723374
"RPL6","ENSG00000089009",0.00271488518277846,0.557444153445194
"RPL3","ENSG00000100316",0.0027358344116609,0.504556922620533
"ATG3","ENSG00000144848",0.0027362621609066,-0.695519193351983
"RPS28","ENSG00000233927",0.0027362621609066,-0.473981808117544
"SLC35E2B","ENSG00000189339",0.00275505843653807,0.72053431881954
"UBXN1","ENSG00000162191",0.00275928492904599,-0.519209602811496
"LYPD6B","ENSG00000150556",0.00280906326363254,-1.00230035561051
"NDUFS5","ENSG00000168653",0.00292372800954605,-0.542021176791865
"KIF20A","ENSG00000112984",0.00295141949221417,1.55804558908779
"FTH1","ENSG00000167996",0.00296112874350421,-0.442363691620098
"PRMT2","ENSG00000160310",0.0030053837004427,-0.609711257539109
"NDUFV2","ENSG00000178127",0.00305987403946623,-0.511140841039412
"TMEM268","ENSG00000157693",0.00305987403946623,0.775683398148172
"ERGIC3","ENSG00000125991",0.00307752703243357,-0.459069185691333
"GORASP2","ENSG00000115806",0.0031944188714404,-0.697712757125657
"DENR","ENSG00000139726",0.0031944188714404,-0.410517037705949
"NDUFV3","ENSG00000160194",0.00321721771709905,-0.460788895687419
"ADRA2C","ENSG00000184160",0.00321721771709905,-0.773430294324969
"SRGAP2C","ENSG00000171943",0.0032318841439103,0.79409429816424
"CERS2","ENSG00000143418",0.0032318841439103,-0.692718855436152
"WAC","ENSG00000095787",0.00343092871812841,-0.657867367478512
"CKMT1B","ENSG00000223572",0.00343094117351964,-0.617826624081581
"MCM10","ENSG00000065328",0.00357090095623336,1.26792915531993
"MID2","ENSG00000080561",0.00369430006030005,-0.398746283766459
"GAB1","ENSG00000109458",0.00372938866813706,-1.05948589337467
"PLXNB2","ENSG00000196576",0.00372938866813706,-0.451169491071721
"WASL","ENSG00000106299",0.00377424395819889,-0.552997056865685
"TMED3","ENSG00000166557",0.00377424395819889,-0.427664144563158
"RRM2","ENSG00000171848",0.0038642367205243,1.23914663980261
"H3C12","ENSG00000197153",0.00393848805033483,0.770754234683323
"MYBL1","ENSG00000185697",0.00415327612130539,1.16934421149158
"CSDE1","ENSG00000009307",0.00428083860680982,-0.382711958873103
"NUDT4","ENSG00000173598",0.00448568956992053,-0.745650756695929
"ATP2A3","ENSG00000074370",0.00449464625318102,-0.594809070134009
"SLC7A5","ENSG00000103257",0.00469280451029737,0.528178303642581
"MCCC2","ENSG00000131844",0.00469280451029737,0.433229027624391
"SH3D21","ENSG00000214193",0.00473513867887125,0.674825642973772
"LCMT1","ENSG00000205629",0.00485067691061056,0.404048298775353
"PDZK1","ENSG00000174827",0.00487398092311572,1.69887813464047
"CEP55","ENSG00000138180",0.0048858710091982,1.2525787505968
"NDRG1","ENSG00000104419",0.00488877627915612,0.574195886855903
"BCAP29","ENSG00000075790",0.00493868656752978,-0.524603534451476
"FAM111B","ENSG00000189057",0.00503803277271751,1.39649671479341
"MRE11","ENSG00000020922",0.0051971056340405,0.74071373240788
"BEX2","ENSG00000133134",0.0051976370710574,-0.753407463074003
"VPS54","ENSG00000143952",0.0051976370710574,-0.495355202513938
"ALAD","ENSG00000148218",0.00529102965652565,-0.770334338934389
"OSBPL8","ENSG00000091039",0.00529102965652565,-0.564928046154884
"PPARG","ENSG00000132170",0.00534546632333098,-0.717616811151167
"DDX39B","ENSG00000198563",0.00547666536616908,0.72837880302886
"PPP1R3C","ENSG00000119938",0.0055202620887928,-0.722248685587971
"ANXA1","ENSG00000135046",0.00562476976450902,-1.02922396826713
"ENSG00000274267","ENSG00000274267",0.00564765264062551,1.66543167781042
"COBLL1","ENSG00000082438",0.00564765264062551,-0.518119360858783
"HDAC3","ENSG00000171720",0.0057295471924378,-0.69880740492417
"MSH6","ENSG00000116062",0.00573466519483052,1.06772267766209
"POMT2","ENSG00000009830",0.00586369999158389,1.10784795353762
"MDH2","ENSG00000146701",0.00607233199834274,0.497061121939003
"CEP250","ENSG00000126001",0.00614751607282387,0.954498664212655
"SDC4","ENSG00000124145",0.00626321952557204,-0.494888082285434
"FDFT1","ENSG00000079459",0.00629082402412568,1.14352867621878
"TACC3","ENSG00000013810",0.00631252917045531,1.12556885969
"STOM","ENSG00000148175",0.00654391389140061,-0.555261625739268
"AHCY","ENSG00000101444",0.00654391389140061,0.587924679768897
"HBEGF","ENSG00000113070",0.00655120154113647,-0.862154044558623
"NADSYN1","ENSG00000172890",0.00656100172483026,0.671483762844829
"ACKR3","ENSG00000144476",0.00660322959882451,0.9473750868452
"SLC26A2","ENSG00000155850",0.00673372287761762,1.52146551829708
